"section","category","title","summary","date","date_iso","year","month","url","page"
"news","Gender and livestock","GASL and Partners lay groundwork for pastoralist, rangeland and women farmers celebrations","Inclusivity will also be key to next year’ celebrations as 2026 will mark the International Year of Women Farmers, to recognize and promote the vital role of women in agriculture and address the challenges they face.","18/09/2025","2025-09-18","2025","9","https://www.fao.org/partnerships/livestock-dialogue/news-events/news/detail/gasl-and-partners-lay-groundwork-for-pastoralist--rangeland-and-women-farmers-celebrations/en","1"
"news","Gender and inclusive food systems and value chains","New report exposes pervasive gender inequalities in sub-Saharan Africa’s agrifood systems, despite women powering half the agrifood workforce","FAO, NRI and AWARD present new data on the status of women in agrifood systems in sub-Saharan Africa.","02/09/2025","2025-09-02","2025","9","https://www.fao.org/africa/news-stories/news-detail/new-report-exposes-pervasive-gender-inequalities-in-sub-saharan-africa-s-agrifood-systems--despite-women-powering-half-the-agrifood-workforce/en","1"
"news","Gender equality and women’s empowerment","FAO launches Platform for the Empowerment of Rural Women in Latin America and the Caribbean","The new digital tool aims to support governments, organizations, and communities in developing inclusive public policies and concrete actions that promote leadership, rights, and the comprehensive empowerment of rural, indigenous, Afro-descendant, and young women in the region.","06/08/2025","2025-08-06","2025","8","https://www.fao.org/americas/news/news-detail/plataforma-mujeres-rurales/en","1"
"news","Gender equality and women’s empowerment","FAO discusses strengthening women's role in agrifood systems in Kyrgyzstan","Empowering rural women is central to fulfilling the mission of the Food and Agriculture Organization of the United Nations (FAO) to eradicate hunger and ensure food security globally.","28/07/2025","2025-07-28","2025","7","https://www.fao.org/countryprofiles/news-archive/detail-news/en/c/1740925","1"
"news","Gender and food security and nutrition","Advancing Nutrition with Renewed Commitment at the Nutrition for Growth Summit","At a pivotal moment for global nutrition and sustainable development, FAO played an active role in the 2025 Nutrition for Growth (N4G) Summit , hosted by the Government of France.","29/04/2025","2025-04-29","2025","4","https://www.fao.org/partnerships/fao-un-system/UN-Partners/fao-and-wfp/advancing-nutrition-with-renewed-commitment-at-the-nutrition-for-growth-summit","1"
"news","Gender equality and women’s empowerment","At CSW69, UN Rome-based Agencies indicate pathways to rights-based food security and nutrition for women","“If you don’t have progress, there is no pushback” – with these cautionary words, Her Excellency Bineta Diop, Special Envoy of the Chairperson of the African Union Commission on Women, Peace and Security, encouraged participants.","08/04/2025","2025-04-08","2025","4","https://www.fao.org/gender/news/news-detail/at-csw69--un-rome-based-agencies-indicate-pathways-to-rights-based-food-security-and-nutrition-for-women/en","1"
"news","Gender equality and women’s empowerment","Achieving gender equality in agrifood systems: FAO's role in advancing SDG 5","In March, the UN highlighted Sustainable Development Goal (SDG) 5: Achieving gender equality and empowering all women and girls.","31/03/2025","2025-03-31","2025","3","https://www.fao.org/sustainable-development-goals-helpdesk/transform/news-detail/achieving-gender-equality-in-agrifood-systems--fao's-role-in-advancing-sdg-5/en","1"
"news","Gender and inclusive food systems and value chains","30 years after Beijing, Commit to Grow Equality urges action for women in agrifood systems","As the global community marked the 30th anniversary of the adoption of the Beijing Declaration and Platform for Action , FAO launched the first progress report for its Commit to Grow Equality (CGE) initiative.","28/03/2025","2025-03-28","2025","3","https://www.fao.org/gender/news/news-detail/30-years-after-beijing--commit-to-grow-equality-urges-action-for-women-in-agrifood-systems/en","1"
"news","Gender and inclusive food systems and value chains","A look back: FAO at the 69th Session of the Commission on the Status of Women","10-21 March, New York - “It is critical to address the challenges within agrifood systems that hold women back from reaching their full potential,” the Director of the FAO Liaison Office with the UN in New York, Angélica Jácome, stressed during the FAO","21/03/2025","2025-03-21","2025","3","https://www.fao.org/new-york/news/news-detail/a-look-back--fao-at-the-69th-session-of-the-commission-on-the-status-of-women/en","1"
"news","Gender equality and women’s empowerment","FAO, IFAD and WFP join forces to celebrate International Women's Day 2025","The Food and Agriculture Organization of the United Nations (FAO), the International Fund for Agricultural Development (IFAD) and the World Food Programme (WFP) together marked International Women's Day 2025 at an event today, reiterating their strong commitment to the empowerment of women and...","06/03/2025","2025-03-06","2025","3","https://www.fao.org/newsroom/detail/fao--ifad-and-wfp-join-forces-to-celebrate-international-women's-day-2025/en","1"
